STT,Mã ngành,Tên ngành,Chỉ tiêu
1.,7140231,Sư phạm tiếng Anh,150
2.,7140234,Sư phạm tiếng Trung Quốc,25
3.,7140236,Sư phạm tiếng Nhật ,25
4.,7140237,Sư phạm tiếng Hàn Quốc,25
5.,7220201,Ngôn ngữ Anh,795
6.,7220202,Ngôn ngữ Nga,70
7.,7220203,Ngôn ngữ Pháp,150
8.,7220204,Ngôn ngữ Trung Quốc,300
9.,7220205,Ngôn ngữ Đức,120
10.,7220209,Ngôn ngữ Nhật,300
11. ,7220210,Ngôn ngữ Hàn Quốc,280
12.,7220211,Ngôn ngữ Ả Rập,60
13.,7220212,Văn hóa truyền thông xuyên quốc gia,50
14.,7220101,Tiếng Việt và Văn hóa Việt Nam,50
